red,z,z,2.46592211723,9.13144016266
green,slash,slash,10.1498100758,11.9963359833
green,slash,slash,13.0156161785,13.4668140411
green,slash,slash,14.4824199677,14.9667010307
green,slash,slash,15.9828979969,16.3763790131
red,z,z,17.3867759705,17.8169081211
red,z,z,18.8323349953,19.2867519855
red,z,z,20.3160421848,20.8617839813
