TrialNumber,color,word,ran,order,RT,accuracy
1,red,G,1.0,0.0,1033.0,1.0
2,green,R,1.0,1.0,500.0,1.0
3,green,G,1.0,2.0,1300.0,-1.0
4,red,R,1.0,3.0,467.0,1.0
